"GeoFips","GeoName","LineCode","Description","2016"
"00000","United States","1","RPPs: All items",100.0
"00000","United States","2","  RPPs: Goods",99.2
"00000","United States","3","  RPPs: Services: Rents",101.6
"00000","United States","4","  RPPs: Services: Other",100.0
"01998","Alabama (Metropolitan Portion)","1","RPPs: All items",87.7
"01998","Alabama (Metropolitan Portion)","2","  RPPs: Goods",97.6
"01998","Alabama (Metropolitan Portion)","3","  RPPs: Services: Rents",66.4
"01998","Alabama (Metropolitan Portion)","4","  RPPs: Services: Other",93.3
"01999","Alabama (Nonmetropolitan Portion)","1","RPPs: All items",81.6
"01999","Alabama (Nonmetropolitan Portion)","2","  RPPs: Goods",91.3
"01999","Alabama (Nonmetropolitan Portion)","3","  RPPs: Services: Rents",48.1
"01999","Alabama (Nonmetropolitan Portion)","4","  RPPs: Services: Other",93.2
"02998","Alaska (Metropolitan Portion)","1","RPPs: All items",108.5
"02998","Alaska (Metropolitan Portion)","2","  RPPs: Goods",101.6
"02998","Alaska (Metropolitan Portion)","3","  RPPs: Services: Rents",142.9
"02998","Alaska (Metropolitan Portion)","4","  RPPs: Services: Other",98.6
"02999","Alaska (Nonmetropolitan Portion)","1","RPPs: All items",99.2
"02999","Alaska (Nonmetropolitan Portion)","2","  RPPs: Goods",99.5
"02999","Alaska (Nonmetropolitan Portion)","3","  RPPs: Services: Rents",118.9
"02999","Alaska (Nonmetropolitan Portion)","4","  RPPs: Services: Other",93.2
"04998","Arizona (Metropolitan Portion)","1","RPPs: All items",96.5
"04998","Arizona (Metropolitan Portion)","2","  RPPs: Goods",97.1
"04998","Arizona (Metropolitan Portion)","3","  RPPs: Services: Rents",94.5
"04998","Arizona (Metropolitan Portion)","4","  RPPs: Services: Other",97.5
"04999","Arizona (Nonmetropolitan Portion)","1","RPPs: All items",86.6
"04999","Arizona (Nonmetropolitan Portion)","2","  RPPs: Goods",99.5
"04999","Arizona (Nonmetropolitan Portion)","3","  RPPs: Services: Rents",52.9
"04999","Arizona (Nonmetropolitan Portion)","4","  RPPs: Services: Other",93.3
"05998","Arkansas (Metropolitan Portion)","1","RPPs: All items",88.4
"05998","Arkansas (Metropolitan Portion)","2","  RPPs: Goods",97.3
"05998","Arkansas (Metropolitan Portion)","3","  RPPs: Services: Rents",68.7
"05998","Arkansas (Metropolitan Portion)","4","  RPPs: Services: Other",93.3
"05999","Arkansas (Nonmetropolitan Portion)","1","RPPs: All items",83.5
"05999","Arkansas (Nonmetropolitan Portion)","2","  RPPs: Goods",91.1
"05999","Arkansas (Nonmetropolitan Portion)","3","  RPPs: Services: Rents",51.5
"05999","Arkansas (Nonmetropolitan Portion)","4","  RPPs: Services: Other",93.2
"06998","California (Metropolitan Portion)","1","RPPs: All items",115.1
"06998","California (Metropolitan Portion)","2","  RPPs: Goods",103.5
"06998","California (Metropolitan Portion)","3","  RPPs: Services: Rents",151.6
"06998","California (Metropolitan Portion)","4","  RPPs: Services: Other",107.1
"06999","California (Nonmetropolitan Portion)","1","RPPs: All items",96.5
"06999","California (Nonmetropolitan Portion)","2","  RPPs: Goods",99.5
"06999","California (Nonmetropolitan Portion)","3","  RPPs: Services: Rents",94.8
"06999","California (Nonmetropolitan Portion)","4","  RPPs: Services: Other",93.6
"08998","Colorado (Metropolitan Portion)","1","RPPs: All items",104.2
"08998","Colorado (Metropolitan Portion)","2","  RPPs: Goods",99.5
"08998","Colorado (Metropolitan Portion)","3","  RPPs: Services: Rents",122.0
"08998","Colorado (Metropolitan Portion)","4","  RPPs: Services: Other",99.5
"08999","Colorado (Nonmetropolitan Portion)","1","RPPs: All items",96.4
"08999","Colorado (Nonmetropolitan Portion)","2","  RPPs: Goods",99.5
"08999","Colorado (Nonmetropolitan Portion)","3","  RPPs: Services: Rents",94.2
"08999","Colorado (Nonmetropolitan Portion)","4","  RPPs: Services: Other",93.3
"09998","Connecticut (Metropolitan Portion)","1","RPPs: All items",109.2
"09998","Connecticut (Metropolitan Portion)","2","  RPPs: Goods",104.6
"09998","Connecticut (Metropolitan Portion)","3","  RPPs: Services: Rents",116.8
"09998","Connecticut (Metropolitan Portion)","4","  RPPs: Services: Other",109.4
"09999","Connecticut (Nonmetropolitan Portion)","1","RPPs: All items",103.1
"09999","Connecticut (Nonmetropolitan Portion)","2","  RPPs: Goods",100.1
"09999","Connecticut (Nonmetropolitan Portion)","3","  RPPs: Services: Rents",108.5
"09999","Connecticut (Nonmetropolitan Portion)","4","  RPPs: Services: Other",103.4
"10998","Delaware (Metropolitan Portion)","1","RPPs: All items",100.3
"10998","Delaware (Metropolitan Portion)","2","  RPPs: Goods",99.0
"10998","Delaware (Metropolitan Portion)","3","  RPPs: Services: Rents",97.8
"10998","Delaware (Metropolitan Portion)","4","  RPPs: Services: Other",103.3
"10999","Delaware (Nonmetropolitan Portion)","1","RPPs: All items",0.0
"10999","Delaware (Nonmetropolitan Portion)","2","  RPPs: Goods",0.0
"10999","Delaware (Nonmetropolitan Portion)","3","  RPPs: Services: Rents",0.0
"10999","Delaware (Nonmetropolitan Portion)","4","  RPPs: Services: Other",0.0
"11998","District of Columbia (Metropolitan Portion)","1","RPPs: All items",116.4
"11998","District of Columbia (Metropolitan Portion)","2","  RPPs: Goods",105.2
"11998","District of Columbia (Metropolitan Portion)","3","  RPPs: Services: Rents",148.2
"11998","District of Columbia (Metropolitan Portion)","4","  RPPs: Services: Other",110.7
"11999","District of Columbia (Nonmetropolitan Portion)","1","RPPs: All items",0.0
"11999","District of Columbia (Nonmetropolitan Portion)","2","  RPPs: Goods",0.0
"11999","District of Columbia (Nonmetropolitan Portion)","3","  RPPs: Services: Rents",0.0
"11999","District of Columbia (Nonmetropolitan Portion)","4","  RPPs: Services: Other",0.0
"12998","Florida (Metropolitan Portion)","1","RPPs: All items",100.3
"12998","Florida (Metropolitan Portion)","2","  RPPs: Goods",98.4
"12998","Florida (Metropolitan Portion)","3","  RPPs: Services: Rents",108.0
"12998","Florida (Metropolitan Portion)","4","  RPPs: Services: Other",97.2
"12999","Florida (Nonmetropolitan Portion)","1","RPPs: All items",89.8
"12999","Florida (Nonmetropolitan Portion)","2","  RPPs: Goods",91.1
"12999","Florida (Nonmetropolitan Portion)","3","  RPPs: Services: Rents",81.1
"12999","Florida (Nonmetropolitan Portion)","4","  RPPs: Services: Other",93.2
"13998","Georgia (Metropolitan Portion)","1","RPPs: All items",93.9
"13998","Georgia (Metropolitan Portion)","2","  RPPs: Goods",97.8
