"GeoFips","GeoName","LineCode","Description","2016"
"00000","United States","1","RPPs: All items",100.0
"00000","United States","2","  RPPs: Goods",99.0
"00000","United States","3","  RPPs: Services: Rents",101.7
"00000","United States","4","  RPPs: Services: Other",100.1
"00999","United States (Nonmetropolitan Portion)1/","1","RPPs: All items",87.6
"00999","United States (Nonmetropolitan Portion)1/","2","  RPPs: Goods",93.9
"00999","United States (Nonmetropolitan Portion)1/","3","  RPPs: Services: Rents",63.8
"00999","United States (Nonmetropolitan Portion)1/","4","  RPPs: Services: Other",93.8
"10180","Abilene, TX (Metropolitan Statistical Area)","1","RPPs: All items",91.5
"10180","Abilene, TX (Metropolitan Statistical Area)","2","  RPPs: Goods",97.1
"10180","Abilene, TX (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",79.5
"10180","Abilene, TX (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"10420","Akron, OH (Metropolitan Statistical Area)","1","RPPs: All items",90.0
"10420","Akron, OH (Metropolitan Statistical Area)","2","  RPPs: Goods",95.9
"10420","Akron, OH (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",76.8
"10420","Akron, OH (Metropolitan Statistical Area)","4","  RPPs: Services: Other",90.9
"10500","Albany, GA (Metropolitan Statistical Area)","1","RPPs: All items",83.3
"10500","Albany, GA (Metropolitan Statistical Area)","2","  RPPs: Goods",97.0
"10500","Albany, GA (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",54.8
"10500","Albany, GA (Metropolitan Statistical Area)","4","  RPPs: Services: Other",93.4
"10540","Albany, OR (Metropolitan Statistical Area)","1","RPPs: All items",94.6
"10540","Albany, OR (Metropolitan Statistical Area)","2","  RPPs: Goods",99.4
"10540","Albany, OR (Metropolitan Statistical Area)","3","  RPPs: Services: Rents",88.0
"10540","Albany, OR (Metropolitan Statistical Area)","4","  RPPs: Services: Other",94.0
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","1","RPPs: All items",100.4
