"","zip","city","state","latitude","longitude"
"7","00501","Holtsville","NY",40.922326,-72.637078
"8","00544","Holtsville","NY",40.922326,-72.637078
"2462","06390","Fishers Island","NY",41.261936,-72.00708
"3896","10001","New York","NY",40.750742,-73.99653
"3897","10002","New York","NY",40.71704,-73.987
"3898","10003","New York","NY",40.732509,-73.98935
"3900","10005","New York","NY",40.706019,-74.00858
"3901","10006","New York","NY",40.707904,-74.01342
"3902","10007","New York","NY",40.714754,-74.00721
"3903","10008","New York","NY",40.780751,-73.977182
"3904","10009","New York","NY",40.727093,-73.97864
"3905","10010","New York","NY",40.739022,-73.98205
"3906","10011","New York","NY",40.741012,-74.00012
"3907","10012","New York","NY",40.72596,-73.99834
"3908","10013","New York","NY",40.720666,-74.00526
"3909","10014","New York","NY",40.734718,-74.00532
"3910","10015","New York","NY",40.780751,-73.977182
"3911","10016","New York","NY",40.74618,-73.97759
"3912","10017","New York","NY",40.752159,-73.97231
"3913","10018","New York","NY",40.755101,-73.99337
"3914","10019","New York","NY",40.765714,-73.9856
"3915","10020","New York","NY",40.758667,-73.98024
"3916","10021","New York","NY",40.76842,-73.96045
"3917","10022","New York","NY",40.759015,-73.96732
"3918","10023","New York","NY",40.776099,-73.98285
"3919","10024","New York","NY",40.786387,-73.97709
"3920","10025","New York","NY",40.798502,-73.96811
"3921","10026","New York","NY",40.802853,-73.95471
"3922","10027","New York","NY",40.812665,-73.95499
"3923","10028","New York","NY",40.776777,-73.9541
"3924","10029","New York","NY",40.791586,-73.94575
"3925","10030","New York","NY",40.818151,-73.94351
"3926","10031","New York","NY",40.826201,-73.94879
"3927","10032","New York","NY",40.840686,-73.94154
"3928","10033","New York","NY",40.848764,-73.93496
"3929","10034","New York","NY",40.867653,-73.92
"3930","10035","New York","NY",40.802395,-73.93359
"3931","10036","New York","NY",40.759511,-73.99019
"3932","10037","New York","NY",40.813385,-73.93616
"3933","10038","New York","NY",40.709677,-74.00365
"3934","10039","New York","NY",40.826181,-73.9371
"3935","10040","New York","NY",40.858704,-73.92853
"3936","10041","New York","NY",40.703042,-74.01009
"3937","10043","New York","NY",40.780751,-73.977182
"3938","10044","New York","NY",40.762174,-73.94917
"3939","10045","New York","NY",40.70859,-74.008687
"3940","10046","New York","NY",40.780751,-73.977182
"3941","10047","New York","NY",40.780751,-73.977182
"3942","10048","New York","NY",40.712086,-74.01227
"3943","10055","New York","NY",40.780751,-73.977182
"3944","10060","New York","NY",40.780751,-73.977182
"3945","10065","New York","NY",40.76,-73.96
"3946","10069","New York","NY",40.775477,-73.9905
"3947","10072","New York","NY",40.780751,-73.977182
"3948","10075","New York","NY",40.77,-73.95
"3949","10079","New York","NY",40.780751,-73.977182
"3950","10080","New York","NY",40.780751,-73.977182
"3951","10081","New York","NY",40.780751,-73.977182
"3952","10082","New York","NY",40.780751,-73.977182
"3953","10087","New York","NY",40.780751,-73.977182
"3954","10090","New York","NY",40.780751,-73.977182
"3955","10094","New York","NY",40.780751,-73.977182
"3956","10095","New York","NY",40.748181,-73.988421
"3957","10096","New York","NY",40.780751,-73.977182
"3958","10098","New York","NY",40.748181,-73.988421
"3959","10099","New York","NY",40.780751,-73.977182
"3960","10101","New York","NY",40.780751,-73.977182
"3961","10102","New York","NY",40.780751,-73.977182
"3962","10103","New York","NY",40.760915,-73.97785
"3963","10104","New York","NY",40.760943,-73.979908
"3964","10105","New York","NY",40.762808,-73.978534
"3965","10106","New York","NY",40.765243,-73.980438
"3966","10107","New York","NY",40.766429,-73.982728
"3967","10108","New York","NY",40.780751,-73.977182
"3968","10109","New York","NY",40.780751,-73.977182
"3969","10110","New York","NY",40.753987,-73.980811
"3970","10111","New York","NY",40.759235,-73.97775
"3971","10112","New York","NY",40.759291,-73.97979
"3972","10113","New York","NY",40.780751,-73.977182
"3973","10114","New York","NY",40.780751,-73.977182
"3974","10115","New York","NY",40.810906,-73.96375
"3975","10116","New York","NY",40.780751,-73.977182
"3976","10117","New York","NY",40.780751,-73.977182
"3977","10118","New York","NY",40.748998,-73.986467
"3978","10119","New York","NY",40.750824,-73.99289
"3979","10120","New York","NY",40.750629,-73.989426
"3980","10121","New York","NY",40.74964,-73.991889
"3981","10122","New York","NY",40.751757,-73.992171
"3982","10123","New York","NY",40.751489,-73.990537
"3983","10124","New York","NY",40.780751,-73.977182
"3984","10125","New York","NY",40.780751,-73.977182
"3985","10126","New York","NY",40.780751,-73.977182
"3986","10128","New York","NY",40.781894,-73.95039
"3987","10129","New York","NY",40.780751,-73.977182
"3988","10130","New York","NY",40.780751,-73.977182
"3989","10131","New York","NY",40.780751,-73.977182
"3990","10132","New York","NY",40.780751,-73.977182
"3991","10133","New York","NY",40.780751,-73.977182
"3992","10138","New York","NY",40.780751,-73.977182
"3993","10149","New York","NY",40.780751,-73.977182
"3994","10150","New York","NY",40.780751,-73.977182
"3995","10151","New York","NY",40.763419,-73.973971
"3996","10152","New York","NY",40.758611,-73.97223
"3997","10153","New York","NY",40.763742,-73.97268
"3998","10154","New York","NY",40.757986,-73.97267
"3999","10155","New York","NY",40.761104,-73.968036
"4000","10156","New York","NY",40.780751,-73.977182
"4001","10157","New York","NY",40.780751,-73.977182
"4002","10158","New York","NY",40.749435,-73.9758
"4003","10159","New York","NY",40.780751,-73.977182
"4004","10160","New York","NY",40.780751,-73.977182
"4005","10161","New York","NY",40.780751,-73.977182
"4006","10162","New York","NY",40.769334,-73.94893
"4007","10163","New York","NY",40.780751,-73.977182
"4008","10164","New York","NY",40.780751,-73.977182
"4009","10165","New York","NY",40.752354,-73.9789
"4010","10166","New York","NY",40.754591,-73.976238
"4011","10167","New York","NY",40.754862,-73.97495
"4012","10168","New York","NY",40.751933,-73.976794
"4013","10169","New York","NY",40.754463,-73.97606
"4014","10170","New York","NY",40.752859,-73.97608
"4015","10171","New York","NY",40.756099,-73.97401
"4016","10172","New York","NY",40.755494,-73.97447
"4017","10173","New York","NY",40.754302,-73.97955
"4018","10174","New York","NY",40.751656,-73.97516
"4019","10175","New York","NY",40.754305,-73.979782
"4020","10176","New York","NY",40.75557,-73.978877
"4021","10177","New York","NY",40.755345,-73.97609
"4022","10178","New York","NY",40.751378,-73.978507
"4023","10179","New York","NY",40.780751,-73.977182
"4024","10184","New York","NY",40.780751,-73.977182
"4025","10185","New York","NY",40.780751,-73.977182
"4026","10196","New York","NY",40.780751,-73.977182
"4027","10197","New York","NY",40.780751,-73.977182
"4028","10199","New York","NY",40.750308,-74.00058
"4029","10200","New York","NY",40.77,73.95
"4030","10203","New York","NY",40.780751,-73.977182
"4031","10211","New York","NY",40.780751,-73.977182
"4032","10212","New York","NY",40.780751,-73.977182
"4033","10213","New York","NY",40.780751,-73.977182
"4034","10242","New York","NY",40.780751,-73.977182
"4035","10249","New York","NY",40.780751,-73.977182
"4036","10250","New York","NY",40.709387,-74.016529
"4037","10256","New York","NY",40.780751,-73.977182
"4038","10257","New York","NY",40.780751,-73.977182
"4039","10258","New York","NY",40.780751,-73.977182
"4040","10259","New York","NY",40.780751,-73.977182
"4041","10260","New York","NY",40.780751,-73.977182
