zip,RRP,zip,lat,lon
76437,91.5,76437,32.39492,-98.99444
44023,90.0,44023,41.392171000000005,-81.32748000000001
39813,83.3,39813,31.41,-84.69
97321,94.6,97321,44.635395,-123.0896
12301,100.4,12301,42.833261,-74.058015
87001,96.3,87001,35.388701,-106.42793
70656,87.9,70656,30.937089,-92.94802
18001,100.8,18001,40.693376,-75.47115600000001
15946,90.7,15946,40.384718,-78.6651
79010,93.0,79010,35.459732,-102.14757
50010,91.6,50010,42.02933,-93.60965999999999
99501,109.2,99501,61.216799,-149.87828000000002
49229,101.8,49229,41.991654,-83.82630999999999
35096,83.8,35096,33.605233,-86.12079
54106,91.9,54106,44.472424,-88.45746
37821,92.6,37821,35.963276,-83.20116
30530,90.8,30530,34.209907,-83.38389000000001
31016,96.3,31016,32.861385999999996,-84.11731999999999
08037,103.5,08037,39.625291,-74.77705
36801,84.6,36801,32.660497,-85.39917
30802,88.3,30802,33.620669,-82.30514000000001
76511,100.0,76511,30.798696999999997,-97.42363
93203,96.7,93203,35.161923,-118.84655
20701,107.2,20701,39.127708,-76.7923
04928,95.7,04928,44.949001,-69.27327
02532,103.9,02532,41.751841,-70.59764
70346,93.0,70346,30.103904999999997,-91.00104
48813,90.6,48813,42.580076,-84.8228
48601,86.9,48601,43.413975,-83.91427
77611,89.8,77611,30.026093,-93.84071
25007,78.8,25007,37.832443,-81.42990999999999
98220,99.4,98220,48.681582,-122.1977
97701,99.0,97701,44.091256,-121.29768999999999
59001,97.5,59001,45.522248,-109.48875
13730,95.9,13730,42.232991,-75.53429
36006,88.8,36006,32.65279,-86.7143
58444,93.9,58444,47.480027,-100.13717
24023,88.5,24023,37.210663000000004,-80.406172
46120,93.7,46120,39.513388,-86.79169
17756,93.3,17756,41.208834,-76.73877
83602,94.8,83602,44.066434,-116.13976000000001
01901,111.1,01901,42.461246,-70.94674300000001
80020,108.9,80020,39.93404,-105.05453999999999
42101,85.1,42101,37.010643,-86.46145
98061,106.4,98061,47.680763,-122.576199
06901,120.1,06901,41.051996,-73.53903000000001
78520,83.8,78520,25.928274,-97.51618
31503,85.6,31503,31.205194,-82.37534000000001
14001,94.4,14001,43.024559,-78.50414
27043,89.4,27043,36.331502,-80.4417
05401,104.6,05401,44.484038,-73.22126
43903,88.6,43903,40.469171,-80.93363000000001
33901,95.9,33901,26.62365,-81.8727
62914,82.7,62914,37.025325,-89.18974
62272,83.5,62272,38.006386,-89.61645
89701,95.6,89701,39.147877,-119.74536
82601,97.6,82601,42.896822,-106.29798999999998
50651,89.3,50651,42.325098,-92.19383
17021,94.2,17021,40.354433,-77.65046
60917,93.7,60917,41.04699,-88.18649
25699,87.3,25699,37.966899,-82.29414
29018,96.2,29018,33.354403000000005,-80.65134
28006,93.5,28006,35.403268,-81.09974
22901,97.9,22901,38.072402000000004,-78.50149
37110,89.3,37110,35.687286,-85.787
82001,97.4,82001,41.141281,-104.80208
46401,103.8,46401,41.590686,-87.319937
95901,99.0,95901,39.159729999999996,-121.53735
45001,89.6,45001,39.137817999999996,-84.7079
37010,90.4,37010,36.569635,-87.10025999999999
