,zip,city,state,score
13399,30002,Avondale Estates,GA,0.05234581281591683
13401,30004,Alpharetta,GA,0.12278003991157325
13402,30005,Alpharetta,GA,-0.08106118042659956
13405,30008,Marietta,GA,0.14409039255690984
13406,30009,Alpharetta,GA,0.09446324052398877
13408,30011,Auburn,GA,0.1325535816813049
13409,30012,Conyers,GA,0.12005696339547109
13410,30013,Conyers,GA,0.2491851333930812
13411,30014,Covington,GA,0.23856510282308654
13413,30016,Covington,GA,0.39036450796439026
13414,30017,Grayson,GA,0.1929619988618032
13416,30019,Dacula,GA,0.4215469303817889
13417,30021,Clarkston,GA,0.0875232801786461
13418,30022,Alpharetta,GA,0.20933974622692242
13420,30024,Suwanee,GA,0.23556491282039804
13421,30025,Social Circle,GA,0.07733533139302144
13423,30028,Cumming,GA,0.2071097349883492
13425,30030,Decatur,GA,0.10203348464181157
13427,30032,Decatur,GA,0.22556109680050188
13428,30033,Decatur,GA,0.22944745503674494
13429,30034,Decatur,GA,0.2829302546692955
13430,30035,Decatur,GA,0.13534665849763997
13433,30038,Lithonia,GA,0.2643520204830615
13434,30039,Snellville,GA,0.34201074754735017
13435,30040,Cumming,GA,0.37630823134372954
13436,30041,Cumming,GA,0.22341396431260085
13438,30043,Lawrenceville,GA,0.8560076306551352
13439,30044,Lawrenceville,GA,0.6008091379817171
13440,30045,Lawrenceville,GA,0.3535865869645098
13441,30046,Lawrenceville,GA,0.19733764271374798
13442,30047,Lilburn,GA,0.550582578613252
13445,30052,Loganville,GA,0.5660187067724204
13446,30054,Oxford,GA,0.06918309378174105
13447,30055,Mansfield,GA,0.014582118790703232
13448,30056,Newborn,GA,0.01522308193224592
13449,30058,Lithonia,GA,0.41144224393857926
13450,30060,Marietta,GA,0.18049397334050307
13452,30062,Marietta,GA,0.43054346670251553
13454,30064,Marietta,GA,0.2507578149982076
13456,30066,Marietta,GA,0.3387853082511801
13457,30067,Marietta,GA,0.36140949684531276
13458,30068,Marietta,GA,0.033899359682141424
13460,30070,Porterdale,GA,0.0022653589352930634
13461,30071,Norcross,GA,0.1273002073400251
13462,30072,Pine Lake,GA,0.006474846585409571
13465,30075,Roswell,GA,0.06169720164904104
13466,30076,Roswell,GA,0.3117720100152357
13468,30078,Snellville,GA,0.2824450821652626
13469,30079,Scottdale,GA,0.012177214293182768
13470,30080,Smyrna,GA,0.376189789100496
13472,30082,Smyrna,GA,0.21309729504391467
13473,30083,Stone Mountain,GA,0.2847840106649937
13474,30084,Tucker,GA,0.2851278340652446
13477,30087,Stone Mountain,GA,0.3403306553683456
13478,30088,Stone Mountain,GA,0.16442485071099955
13481,30092,Norcross,GA,0.2907664325237498
13482,30093,Norcross,GA,0.2554729333572325
13483,30094,Conyers,GA,0.3182396281188385
