,zip,city,state,latitude,longitude,population,pop_45-49,pop_50-54,pop_55-59,pop_60-64,pop_65-69,pop_70-74,pop_75-inf
0,00210,Portsmouth,NH,43.005895,-71.013202,0.0,0.0,0.0,0.0,,,,
1,00211,Portsmouth,NH,43.005895,-71.013202,0.0,0.0,0.0,0.0,,,,
2,00212,Portsmouth,NH,43.005895,-71.013202,0.0,0.0,0.0,0.0,,,,
3,00213,Portsmouth,NH,43.005895,-71.013202,0.0,0.0,0.0,0.0,,,,
4,00214,Portsmouth,NH,43.005895,-71.013202,0.0,0.0,0.0,0.0,,,,
5,00215,Portsmouth,NH,43.005895,-71.013202,0.0,0.0,0.0,0.0,,,,
6,00501,Holtsville,NY,40.922326,-72.637078,0.0,0.0,0.0,0.0,,,,
7,00544,Holtsville,NY,40.922326,-72.637078,0.0,0.0,0.0,0.0,,,,
8,00601,Adjuntas,PR,18.180103,-66.74947,17599.0,,,,,,,
9,00602,Aguada,PR,18.363285,-67.18024,39209.0,,,,,,,
10,00603,Aguadilla,PR,18.448619,-67.13422,50135.0,,,,,,,
11,00604,Aguadilla,PR,18.498987,-67.13699,0.0,0.0,0.0,0.0,,,,
12,00605,Aguadilla,PR,18.465162,-67.141486,0.0,0.0,0.0,0.0,,,,
13,00606,Maricao,PR,18.182151,-66.9588,6304.0,,,,,,,
14,00607,Aguas Buenas,PR,18.256995,-66.10465699999999,0.0,0.0,0.0,0.0,,,,
15,00609,Aibonito,PR,18.142001999999998,-66.273278,0.0,0.0,0.0,0.0,,,,
16,00610,Anasco,PR,18.288319,-67.13604000000001,27590.0,,,,,,,
17,00611,Angeles,PR,18.279531,-66.80216999999999,0.0,0.0,0.0,0.0,,,,
18,00612,Arecibo,PR,18.449732,-66.69879,62566.0,,,,,,,
19,00613,Arecibo,PR,18.458092999999998,-66.732732,0.0,0.0,0.0,0.0,,,,
20,00614,Arecibo,PR,18.429675,-66.67450600000001,0.0,0.0,0.0,0.0,,,,
21,00615,Arroyo,PR,17.96977,-66.061459,0.0,0.0,0.0,0.0,,,,
22,00616,Bajadero,PR,18.426748,-66.67669000000001,10687.0,,,,,,,
23,00617,Barceloneta,PR,18.455499,-66.55575,24508.0,,,,,,,
24,00618,Barranquitas,PR,18.185463000000002,-66.30582700000001,0.0,0.0,0.0,0.0,,,,
25,00622,Boqueron,PR,18.003125,-67.16745,7405.0,,,,,,,
26,00623,Cabo Rojo,PR,18.08643,-67.15222,42321.0,,,,,,,
27,00624,Penuelas,PR,18.055398999999998,-66.72601999999999,23238.0,,,,,,,
28,00625,Caguas,PR,18.232109,-66.039087,0.0,0.0,0.0,0.0,,,,
29,00626,Caguas,PR,18.235003,-66.037318,0.0,0.0,0.0,0.0,,,,
30,00627,Camuy,PR,18.435246,-66.85644,32936.0,,,,,,,
31,00631,Castaner,PR,18.186739000000006,-66.85174,1555.0,,,,,,,
32,00633,Cayey,PR,18.194526999999997,-66.18346700000001,0.0,0.0,0.0,0.0,,,,
33,00634,Cayey,PR,18.111528,-66.177083,0.0,0.0,0.0,0.0,,,,
34,00635,Ceiba,PR,18.262902,-65.646529,0.0,0.0,0.0,0.0,,,,
35,00636,Rosario,PR,18.113284,-67.03970600000001,0.0,0.0,0.0,0.0,,,,
36,00637,Sabana Grande,PR,18.073078,-66.94864,23610.0,,,,,,,
37,00638,Ciales,PR,18.308139,-66.49835,17202.0,,,,,,,
38,00639,Cidra,PR,18.176094,-66.158728,0.0,0.0,0.0,0.0,,,,
39,00640,Coamo,PR,18.077197,-66.359104,0.0,0.0,0.0,0.0,,,,
40,00641,Utuado,PR,18.268895999999998,-66.70519,28332.0,,,,,,,
41,00643,Corozal,PR,18.341254,-66.31519399999999,0.0,0.0,0.0,0.0,,,,
42,00644,Coto Laurel,PR,18.049577,-66.55218,0.0,0.0,0.0,0.0,,,,
43,00645,Culebra,PR,18.308508,-65.304732,0.0,0.0,0.0,0.0,,,,
